"episode_number","title","date"
39,"Shelby Church Made A Horrible Investment",2021-02-15
38,"Watch Expert Reacts: The BEST Investment Watches You Can Buy",2021-02-10
37,"How Much I Make From An $11,000,000 Real Estate Portfolio | Grant Navarre",2021-02-03
36,"Confronting iDubbbzTV | Revealing His Bitcoin Investment",2021-01-27
35,"Giving Financial Advice To A Homeless Person | Jake McCollum",2021-01-20
34,"Confronting Elena Taber From CNBC Millennial Money",2021-01-20
33,"Meet The Real Estate Investor With 120 Tenants | Chandler David Smith",2021-01-06
32,"Inside The World’s Most Expensive $10,000,000 Pokemon Collection",2021-01-04
31,"Meet The 17 Year Old Self Made Millionaire | Jack Doherty",2020-12-23
30,"Confronting TheStradman | Exposing His $0 Investment Portfolio",2020-12-15
29,"Confronting Jack’s Girlfriend’s Boyfriend",2020-12-12
28,"Confronting Carter Sharer | How He Spends $100,000 PER MONTH",2020-12-10
27,"Confronting A Tinder Date | How Much Money She Makes",2020-11-30
26,"Confronting Biaheza | Reacting To His $1 Million Portfolio At 19 Years Old",2020-11-18
25,"Confronting Millionaire Timothy Sykes | Why I Lost Money Day Trading",2020-11-11
24,"Confronting Ryan Pineda | How He Makes $1M Per Year Flipping Homes",2020-11-08
23,"Confronting Andrei Jikh | Why He Keeps $1 Million Dollars Cash",2020-11-06
21,"Confronting Jeremy Financial Education | Exposing His $1,000,000 Portfolio",2020-10-28
20,"Millionaire Dating Expert Reveals How To Get A Girlfriend ft. Kong Pham",2020-10-07
19,"Confronting MeetKevin | How He Makes $1,000,000 Per Month",2020-08-28
18,"Stock Options EXPERT Teaches Graham Stephan How to Invest | Ft. @Savannah Smiles",2020-09-22
17,"Prank Calling Billie Eilish and Drake with Airrack",2020-09-21
16,"How to travel the ENTIRE world for $10,000 | Cassie De Pecol",2020-09-06
15,"Confronting Shelby Church And How She Spends Her Money",2020-08-31
14,"Revealing How Much Money The Graham Stephan Show Makes!",2020-08-25
13,"How Much Money Colin and Samir Make on YouTube",2020-08-16
12,"Dropping Out Of College",2020-08-09
11,"How Dax Flame Plans To Make $1,000,000 | Investing with Graham Stephan",2020-08-02
10,"How To Make $80,000 PER MONTH | Feat Linguamarina",2020-07-26
9,"Graham’s Plan To RUN FOR PRESIDENT",2020-07-19
8,"Graham Makes The RISKIEST INVESTMENT Live On The Podcast",2020-07-13
7,"HOW FAR we got on the Mr Beast FINGER ON THE APP challenge!",2020-07-07
6,"Reacting To LAHWF And His Finances",2020-06-29
5,"REVEALING Our BEST Investing Strategies For 2020 | ft. Financial Education Jeremy",2020-06-21
4,"Revealing How Much Money This Podcast Makes",2020-06-14
3,"Holding a $1.2 Million Dollar Diamond Ring",2020-06-08
2,"Baking Cookies in Graham’s Tesla",2020-05-31
1,"Graham Stephan’s Terrible Business Ideas",2020-05-24
