"episode_number","title","date"
65,"Daniel Kahneman: Thinking Fast and Slow, Deep Learning, and AI",2020-01-14
64,"Grant Sanderson: 3Blue1Brown and the Beauty of Mathematics",2020-01-07
63,"Stephen Kotkin: Stalin, Putin, and the Nature of Power",2020-01-03
62,"Donald Knuth: Algorithms, TeX, Life, and The Art of Computer Programming",2019-12-30
61,"Melanie Mitchell: Concepts, Analogies, Common Sense & Future of AI",2019-12-28
60,"Jim Gates: Supersymmetry, String Theory and Proving Einstein Right",2019-12-25
59,"Sebastian Thrun: Flying Cars, Autonomous Vehicles, and Education",2019-12-21
58,"Michael Stevens: Vsauce",2019-12-17
57,"Rohit Prasad: Amazon Alexa and Conversational AI",2019-12-14
56,"Judea Pearl: Causal Reasoning, Counterfactuals, Bayesian Networks, and the Path to AGI",2019-12-11
55,"Whitney Cummings: Comedy, Robotics, Neurology, and Love",2019-12-05
54,"Ray Dalio: Principles, the Economic Machine, Artificial Intelligence & the Arc of Life",2019-12-02
53,"Noam Chomsky: Language, Cognition, and Deep Learning",2019-11-29
52,"Gilbert Strang: Linear Algebra, Deep Learning, Teaching, and MIT OpenCourseWare",2019-11-25
51,"Dava Newman: Space Exploration, Space Suits, and Life on Mars",2019-11-22
